Product Name,Original Price,Discounted Price
VGA Gigabyte RTX 4070 Ti Super Eagle OC 16GB GDDR6X (N407TSEAGLE OC-16GD),35.999.000,25.699.000
VGA Gigabyte GeForce RTX 4080 SUPER Aorus Master 16GB GDDR6X (N408SAORUS M-16GD),41.999.000,37.999.000
VGA Gigabyte RTX 4070 Ti Super Gaming OC 16GB GDDR6X (N407TSGAMING OC-16GD),39.999.000,27.399.000
VGA MSI RTX 4080 Super 16GB Gaming X Slim,41.999.000,35.799.000
VGA Asus DUAL RTX 3050 6GB (DUAL-RTX3050-6G),5.599.000,4.799.000
VGA Gigabite GeForce GT 710 2GB DDR5 (GV-N710D5-2GIL),1.899.000,1.279.000
VGA MSI GeForce RTX 3060 GAMING X 12GB GDDR6 (LHR),16.999.000,13.999.000
VGA Palit GeForce GTX 1050 Ti StormX 4GB GDDR5 (NE5105T018G1-1070F),6.499.000,3.599.000
VGA GAINWARD GTX 1050 Ti 4GB (NE5105T018G1-1070F),4.999.000,3.299.000
VGA Asus ROG Strix RTX 4090 OC 24GB Gaming (ROG-STRIX-RTX4090-O24G-GAMING),67.999.000,63.999.000
VGA Gigabyte RTX 4060 Ti Aero OC 8GB (N406TAERO OC-8GD),14.999.000,12.799.000
VGA SAPPHIRE PURE AMD RADEON RX 7800 XT GAMING OC 16GB GDDR6,16.999.000,15.499.000
VGA Colorful iGame GeForce RTX 4070 SUPER Advanced OC 12GB-V,26.999.000,21.399.000
VGA MSI RTX 4080 Super 16GB Gaming X Trio,39.999.000,35.499.000
VGA MSI GeForce RTX 4070 SUPER 12GB VENTUS 3X OC,21.999.000,18.999.000
VGA ASUS Phoenix Radeon RX 550 4GB GDDR5 (PH-RX550-4G-EVO),2.499.000,2.199.000
VGA Gigabyte RTX 4070 Super EAGLE OC ICE 12GB (N407SEAGLE OC ICE -12GD),25.999.000,22.499.000
VGA INNO3D GEFORCE GTX 1660 SUPER TWIN X2,15.000.000,5.899.000
VGA MSI GeForce RTX 3060 VENTUS 3X 12G OC,15.999.000,8.399.000
VGA Colorful GTX1050Ti NE 4G-V,5.999.000,3.599.000
VGA Colorful GeForce GTX1050Ti 4G-V,4.199.000,3.499.000
VGA ASUS TUF Gaming GeForce GTX 1650 V2 OC Edition 4GB GDDR6 (TUF-GTX1650-O4GD6-P-V2-Gaming),4.999.000,3.899.000
VGA MSI GeForce RTX 4060 Ti GAMING X TRIO 8GB,16.999.000,13.499.000
VGA ASUS Dual GeForce RTX 4070 SUPER 12GB GDDR6X (DUAL-RTX4070S-12G),21.999.000,18.899.000
VGA Colorful iGame GeForce RTX 4070 SUPER Ultra White OC 12GB-V,23.999.000,19.799.000
VGA MSI RTX 4080 Super 16GB Gaming X Slim White,41.999.000,35.999.000
VGA Leadtek RTX 5000 ADA 32GB GDDR6,199.000.000,149.729.000
VGA ASUS TUF Gaming RTX 4070Ti Super BTF White O16G (TUF-RTX4070TIS-O16G-BTF-WHITE),33.999.000,29.999.000
VGA Asus ROG Strix RTX 4070 Ti OC 12GB Gaming,27.999.000,24.999.000
VGA Gigabyte RTX 4080 Super AORUS XTREME ICE 16GB (N408SAORUS XTREME ICE -16GD),62.999.000,56.999.000
VGA Colorful GeForce GTX 1660 SUPER NB 6G-V,12.599.000,5.999.000
VGA Colorful GeForce RTX 3060 NB DUO 12GB V2 L-V,11.990.000,7.399.000
VGA MSI GeForce RTX 4060 Ti GAMING X 8GB,16.999.000,12.699.000
VGA Colorful GeForce RTX 4060 NB EX 8GB-V,9.499.000,8.499.000
VGA Gigabyte RTX 4070 Super Gaming OC 12GB GDDR6X (N407SGAMING OC-12GD),25.999.000,21.799.000
VGA Colorful GeForce RTX 4070 SUPER NB EX 12GB-V,25.999.000,19.499.000
VGA MSI RTX 4080 Super 16GB Suprim X,43.999.000,38.499.000
VGA Asus ROG Strix GeForce RTX 4070 SUPER 12GB GDDR6X (ROG-STRIX-RTX4070S-12G-GAMING),25.699.000,22.499.000
VGA Leadtek A400 4GB (4 cổng MiniDP),5.499.000,5.439.000
VGA GALAX GeForce GTX 1050 Ti (1-Click OC) 4GB GDDR5 (50IQH8DSQ3DD),5.999.000,5.199.000
VGA Leadtek NVIDIA RTX A5000 24GB GDDR6,72.999.000,66.699.000
VGA Gigabyte RTX 4070 Eagle OC 12GB (N4070EAGLE OC-12GD),22.999.000,19.399.000
VGA MSI GeForce RTX 4060 Ti VENTUS 3X 8GB OC,14.999.000,11.899.000
VGA MSI RTX 4060 Ti VENTUS 3X 16GB OC,16.999.000,14.499.000
VGA ASROCK RX 7800 XT Steel Legend 16GB OC (RX7800XT SL 16GO),18.999.000,15.699.000
VGA Gigabyte RTX 4070 Super Windforce OC 12GB GDDR6X (N407SWF3 OC-12GD),26.999.000,19.499.000
VGA Gigabyte RTX 4070 Ti Super Aorus Master 16GB GDDR6X (N407TSAORUS M-16GD),35.999.000,30.999.000
VGA Asus ROG Strix GeForce RTX 4080 SUPER 16GB GDDR6X OC Edition (ROG-STRIX-RTX4080S-O16G-GAMING),44.999.000,37.599.000
VGA INNO3D GEFORCE RTX 4070 Ti SUPER X3 OC,25.499.000,23.999.000
VGA Leadtek Nvidia A1000 8GB,14.999.000,13.739.000
VGA MSI RTX 4070 Ti SUPER 16GB SHADOW 3X OC,28.999.000,25.599.000
VGA PNY GeForce GTX 1650 4GB GDDR6 Dual Fan,4.199.000,3.699.000
VGA NVIDIA RTX A4000 16GB GDDR6,30.999.000,30.149.000
VGA Manli GeForce GTX 1050Ti 4GB GDDR5 Single Fan,6.000.000,4.699.000
VGA MSI RTX 4070 VENTUS 2X 12GB OC,19.999.000,16.399.000
VGA MSI GeForce RTX 4060 Ti VENTUS 2X BLACK 8GB OC,13.999.000,12.099.000
