Product Name,Original Price,Discounted Price
CARD MÀN HÌNH GIGABYTE RTX 4070 SUPER AORUS MASTER-12G,25.799.000₫,23.799.000₫
CARD MÀN HÌNH GIGABYTE RTX 4070 EAGLE OC V2-12GD,20.999.000₫,19.399.000₫
CARD MÀN HÌNH GIGABYTE RTX 4070 SUPER EAGLE OC-12G,23.999.000₫,21.999.000₫
CARD MÀN HÌNH GIGABYTE RTX 4070 GAMING OC V2-12GD,22.999.000₫,18.999.000₫
CARD MÀN HÌNH GIGABYTE RTX 4070 TI SUPER WINDFORCE OC-16G,27.599.000₫,25.599.000₫
CARD MÀN HÌNH GIGABYTE RTX 4080 SUPER WINDFORCE-16G,36.599.000₫,34.599.000₫
CARD MÀN HÌNH GIGABYTE RTX 4070 SUPER EAGLE OC ICE -12GD,26.999.000₫,21.999.000₫
CARD MÀN HÌNH GIGABYTE RTX 4070 WINDFORCE OC-12GD,20.699.000₫,17.499.000₫
CARD MÀN HÌNH GIGABYTE RTX 4070 TI AERO OC 12GB,30.999.000₫,27.999.000₫
CARD MÀN HÌNH GIGABYTE RTX 4070 AERO OC-12GD,23.519.000₫,19.299.000₫
CARD MÀN HÌNH GIGABYTE RTX 4080 SUPER AORUS MASTER-16G,48.999.000₫,37.999.000₫
CARD MÀN HÌNH GIGABYTE RTX 4070 TI AORUS MASTER 12GB,32.999.000₫,28.999.000₫
CARD MÀN HÌNH GIGABYTE RTX 4080 AERO OC-16GB,48.999.000₫,39.999.000₫
CARD MÀN HÌNH GIGABYTE RTX 4070 GAMING OC-12GD,21.599.000₫,18.999.000₫
CARD MÀN HÌNH GIGABYTE RTX 4070 TI AORUS ELITE 12GB,32.499.000₫,28.999.000₫
CARD MÀN HÌNH GIGABYTE RTX 4080 GAMING OC-16GB,48.999.000₫,39.999.000₫
CARD MÀN HÌNH GIGABYTE RTX 4070 EAGLE OC-12GD,20.999.000₫,18.899.000₫
CARD MÀN HÌNH NVIDIA RTX A2000 6GB GDDR6,14.399.000₫,13.879.000₫
CARD MÀN HÌNH PNY RTX 4080 SUPER 16GB XLR8 GAMING VERTO EPIC-X RGB OVERCLOCKED TRIPLE FAN DLSS 3,35.999.000₫,31.999.000₫
CARD MÀN HÌNH PNY RTX 4070 TI SUPER 16GB VERTO OVERCLOCKED TRIPLE FAN DLSS 3,27.999.000₫,23.599.000₫
CARD MÀN HÌNH MSI RTX 4070 VENTUS 2X E1 12G OC,18.499.000₫,16.499.000₫
CARD MÀN HÌNH GIGABYTE RTX 4090 WINDFORCE V2-24GB,69.999.000₫,58.999.000₫
CARD MÀN HÌNH ASUS DUAL RTX 4070 SUPER-12G-EVO,21.999.000₫,18.599.000₫
CARD MÀN HÌNH ASUS TUF RTX 4070 TI SUPER-16G-BTF WHITE,32.999.000₫,28.599.000₫
CARD MÀN HÌNH ASUS PROART RTX 4070 TI SUPER-16G,33.999.000₫,29.099.000₫
CARD MÀN HÌNH ASUS ROG TRIX RTX 4070 SUPER-O12G GAMING,23.499.000₫,22.999.000₫
CARD MÀN HÌNH ASUS PROART RTX 4070 SUPER-O12G,N/A,23.599.000₫
CARD MÀN HÌNH ASUS PROART RTX 4070 SUPER-12G,N/A,23.499.000₫
CARD MÀN HÌNH ASUS TUF RTX 4070 SUPER-12G GAMING,21.799.000₫,21.599.000₫
CARD MÀN HÌNH ASUS ROG STRIX RTX 4070 TI SUPER-16G-GAMING,35.999.000₫,30.899.000₫
CARD MÀN HÌNH ASUS DUAL RTX 4070 SUPER-12G,20.999.000₫,18.899.000₫
CARD MÀN HÌNH ASUS DUAL GTX 1650-O4GD6-P-EVO,4.999.000₫,3.799.000₫
CARD MÀN HÌNH ASUS DUAL-RTX 4070 TI SUPER-O16G,26.999.000₫,24.999.000₫
CARD MÀN HÌNH ASL RTX 1660 SUPER 6GB,5.399.000₫,4.899.000₫
CARD MÀN HÌNH COLORFUL IGAME RTX 4080 SUPER LOONG EDITION OC 16GB-V,38.999.000₫,35.999.000₫
CARD MÀN HÌNH COLORFUL IGAME RTX 4070 TI SUPER LOONG EDITION OC 16GB-V,30.999.000₫,28.999.000₫
CARD MÀN HÌNH COLORFUL IGAME RTX 4070 TI SUPER VULCAN W 16G-V,29.999.000₫,27.999.000₫
CARD MÀN HÌNH COLORFUL RTX 4060 NB EX 8GB-V,9.599.000₫,8.399.000₫
CARD MÀN HÌNH MSI RTX 4070 TI SUPER 16G VENTUS 2X WHITE OC,29.999.000₫,24.999.000₫
CARD MÀN HÌNH MSI RTX 4070 TI SUPER 16G VENTUS 2X OC,28.999.000₫,24.999.000₫
CARD MÀN HÌNH MSI RTX 4070 TI SUPER 16G GAMING X SLIM,28.999.000₫,26.999.000₫
CARD MÀN HÌNH MSI RTX 4070 SUPER 12G VENTUS 2X WHITE OC,20.999.000₫,18.599.000₫
CARD MÀN HÌNH MSI RTX 3050 GAMING X 6GB,6.699.000₫,5.299.000₫
CARD MÀN HÌNH MSI RTX 4060 GAMING X 8G,N/A,9.399.000₫
CARD MÀN HÌNH MSI RTX 4080 16G SUPRIM X,47.999.000₫,38.999.000₫
CARD MÀN HÌNH MSI RTX 4060 TI GAMING X 8G,14.599.000₫,12.699.000₫
CARD MÀN HÌNH MSI RTX 4060 TI VENTUS 3X 8G OC,13.599.000₫,12.499.000₫
CARD MÀN HÌNH MSI RTX 4070 GAMING X TRIO 12G,21.999.000₫,18.899.000₫
CARD MÀN HÌNH MSI RTX 4080 GAMING X TRIO,45.999.000₫,37.399.000₫
CARD MÀN HÌNH MSI RTX 4060 TI GAMING X TRIO 8G,15.599.000₫,13.499.000₫
CARD MÀN HÌNH MSI RTX 4060 TI VENTUS 2X BLACK 8G OC,13.919.000₫,12.099.000₫
CARD MÀN HÌNH MSI RTX 4060 VENTUS 2X WHITE 8G OC,9.999.000₫,8.599.000₫
CARD MÀN HÌNH INNO3D RTX 4070 SUPER TWIN X2 OC 12GB,19.999.000₫,16.999.000₫
CARD MÀN HÌNH COLORFUL IGAME GEFORCE RTX 4070 TI SUPER NB EX 16G-V,26.999.000₫,24.999.000₫
CARD MÀN HÌNH COLORFUL IGAME RTX 4080 SUPER  ULTRA W OC 16G-V,37.999.000₫,33.599.000₫
CARD MÀN HÌNH COLORFUL IGAME GEFORCE RTX 4070 TI SUPER ULTRA W OC 16G-V,27.999.000₫,25.999.000₫
CARD MÀN HÌNH COLORFUL IGAME GEFORCE RTX 4080 SUPER 16G VULCAN OC-V-WHITE,37.999.000₫,35.999.000₫
