Name,Product Name,Original Price,Discounted Price
"CPU INTEL CORE I9-12900 (30M CACHE, UP TO 5.10 GHZ, 16C24T, SOCKET 1700)",CPU INTEL CORE I9-12900,13.999.000,10.999.000
CPU INTEL CORE I3 13100 (INTEL LGA1700 - 4 CORE - 8 THREAD - BASE 3.4GHZ - TURBO 4.5GHZ - CACHE 12MB),CPU INTEL CORE I3 13100,4.599.000,3.199.000
CPU AMD RYZEN 5 7500F (AMD AM5 - 6 CORE - 12 THREAD - BASE 3.7GHZ - TURBO 5.0GHZ - CACHE 38MB - NO IGPU),CPU AMD RYZEN 5 7500F,5.799.000,4.349.000
CPU INTEL CORE I5 11400F (INTEL LGA1200 - 6 CORE - 12 THREAD - BASE 2.6GHZ - TURBO 4.4GHZ - CACHE 12MB - NO IGPU),CPU INTEL CORE I5 11400F,3.999.000,2.499.000
CPU AMD RYZEN 5 7600X (AMD AM5  - 6 CORE - 12 THREAD - BASE 4.7GHZ - TURBO 5.3GHZ - CACHE 38MB),CPU AMD RYZEN 5 7600X,9.999.000,6.099.000
CPU INTEL CORE I3 10105F (INTEL LGA1200 - 4 CORE - 8 THREAD - BASE 3.7GHZ - TURBO 4.4GHZ - CACHE 6MB - NO IGPU),CPU INTEL CORE I3 10105F,2.299.000,1.599.000
CPU AMD RYZEN 7 7700X (AMD AM5  - 8 CORE - 16 THREAD - BASE 4.5GHZ - TURBO 5.4GHZ - CACHE 40 MB),CPU AMD RYZEN 7 7700X,10.999.000,8.699.000
"CPU INTEL CORE I9-13900 (36M CACHE, UP TO 5.50GHZ, 24C32T, SOCKET 1700)",CPU INTEL CORE I9-13900,16.499.000,15.199.000
CPU AMD RYZEN 9 7900X (AMD AM5  - 12 CORE - 24 THREAD - BASE 4.7GHZ - TURBO 5.6GHZ - CACHE 76MB),CPU AMD RYZEN 9 7900X,15.999.000,10.299.000
"CPU INTEL CORE I9-13900F (36M CACHE, UP TO 5.50GHZ, 24C32T, SOCKET 1700)",CPU INTEL CORE I9-13900F,15.999.000,14.999.000
CPU INTEL CORE I9 14900KF (INTEL LGA1700 - 24 CORE - 32 THREAD - BASE 3.2GHZ - TURBO 6.0GHZ - CACHE 36MB - NO IGPU),CPU INTEL CORE I9 14900KF,18.999.000,12.499.000
CPU INTEL CORE I9 14900F (INTEL LGA1700 - 24 CORE - 32 THREAD - BASE 2.0GHZ - TURBO 5.8GHZ - CACHE 36MB),CPU INTEL CORE I9 14900F,16.999.000,14.999.000
"CPU INTEL CORE I9-12900KS (16M CACHE, 2.50 GHZ UP TO 5.50 GHZ, SOCKET 1700)",CPU INTEL CORE I9-12900KS,16.999.000,11.999.000
CPU AMD RYZEN 9 7950X (AMD AM5  - 16 CORE - 32 THREAD - BASE 4.5GHZ - TURBO 5.7GHZ - CACHE 80MB),CPU AMD RYZEN 9 7950X,20.000.000,14.499.000
"CPU AMD RYZEN 9 7900 (76M CACHE, UP TO 5.40GHZ, 12C24T, SOCKET AM5)",CPU AMD RYZEN 9 7900,12.999.000,9.899.000
"CPU AMD RYZEN THREADRIPPER PRO 7995WX (384M CACHE, UP TO 5.1GHZ, 96C192T, SOCKET STR5)",CPU AMD RYZEN THREADRIPPER PRO 7995WX,349.000.000,279.999.000
CPU INTEL CORE I9 14900 (INTEL LGA1700 - 24 CORE - 32 THREAD - BASE 2.0GHZ - TURBO 5.8GHZ - CACHE 36MB),CPU INTEL CORE I9 14900,18.999.000,15.399.000
CPU AMD RYZEN 5 9600X (AMD AM5 - 6 CORE - 12 THREAD - BASE 3.9GHZ - TURBO 5.4GHZ - CACHE 38MB),CPU AMD RYZEN 5 9600X,8.899.000,7.099.000
CPU AMD RYZEN 7 5700G (AMD AM4  - 8 CORE - 16 THREAD - BASE 3.8GHZ - TURBO 4.6GHZ - CACHE 20MB),CPU AMD RYZEN 7 5700G,9.990.000,4.999.000
"CPU AMD RYZEN 7 7700 (40M CACHE, UP TO 5.3GHZ, 8C16T, SOCKET AM5)",CPU AMD RYZEN 7 7700,9.999.000,8.099.000
"CPU AMD RYZEN THREADRIPPER PRO 7985WX (256M CACHE, UP TO 5.1GHZ, 64C128T, SOCKET STR5)",CPU AMD RYZEN THREADRIPPER PRO 7985WX,249.999.000,211.999.000
CPU AMD RYZEN 7 8700G (AMD AM5 - 8 CORE - 16 THREAD - BASE 4.2GHZ - TURBO 5.1GHZ - CACHE 24MB),CPU AMD RYZEN 7 8700G,12.999.000,7.699.000
CPU INTEL PENTIUM GOLD G6405 (INTEL LGA1200 - 2 CORE - 4 THREAD - BASE 4.1GHZ - CACHE 4MB),CPU INTEL PENTIUM GOLD G6405,2.599.000,1.799.000
CPU INTEL CORE I5 13600K (INTEL LGA1700 - 14 CORE - 20 THREAD - BASE 3.5GHZ - TURBO 5.3GHZ - CACHE 24MB),CPU INTEL CORE I5 13600K,10.999.000,6.999.000
CPU AMD RYZEN 5 7600 (AMD AM5  - 6 CORE - 12 THREAD - BASE 3.8GHZ - TURBO 5.1GHZ - CACHE 38MB),CPU AMD RYZEN 5 7600,6.999.000,5.249.000
"CPU AMD RYZEN THREADRIPPER PRO 7975WX (128M CACHE, UP TO 5.3GHZ, 32C64T, SOCKET STR5)",CPU AMD RYZEN THREADRIPPER PRO 7975WX,139.999.000,110.799.000
CPU AMD RYZEN 7 5700X3D (AMD AM4 - 8 CORE - 16 THREAD - BASE 3.0GHZ - TURBO 4.1GHZ - CACHE 100MB),CPU AMD RYZEN 7 5700X3D,7.999.000,6.499.000
